Days ,total_vaccinations,people_vaccinated,people_fully_vaccinated
232,90648473,48003976,42644497
233,90752303,48028366,42723937
234,90838594,48048009,42790585
235,90997895,48087908,42909987
236,91155368,48131996,43023372
237,91314745,48171998,43142747
238,91460601,48207264,43253337
239,91630208,48248318,43381890
240,91725196,48270113,43455083
241,91827909,48292811,43535098
242,91940381,48319435,43620946
243,92053472,48344566,43708906
244,92175948,48370340,43805608
245,92293823,48396404,43897419
246,92419795,48424317,43995478
247,92487365,48439272,44048093
248,92567446,48458700,44108746
249,92651816,48476345,44175471
250,92739508,48500747,44238761
251,92826532,48523798,44302734
252,92907694,48544576,44363118
253,93006389,48570774,44435615
254,93055386,48584614,44470772
255,93121878,48604764,44517114
256,93185668,48625148,44560520
257,93252394,48647827,44604567
258,93322065,48672910,44649155
259,93394441,48700527,44693914
260,93465855,48724823,44741032
261,93507378,48740807,44766571
262,93565474,48765726,44799748
263,93630859,48797579,44833280
264,93696491,48829118,44867373
265,94633524,48863490,44901832
266,94859905,48901670,44936121
267,95119823,48932736,44970512
268,95254996,48956859,44992044
269,95445881,48994530,45021381
270,95671900,49035877,45049953
271,95895401,49068705,45078529
272,96134715,49101734,45107185
273,96369396,49133419,45136253
274,96685077,49164814,45169730
275,96820110,49186920,45189181
276,96997450,49216092,45212813
277,97224561,49252939,45239759
278,97754591,49291665,45269240
279,98065088,49335154,45297231
280,98356171,49375917,45326663
281,98724853,49404916,45360146
282,98877987,49422753,45377411
283,99119443,49462425,45400990
284,99427187,49505327,45433757
285,99759726,49554407,45460122
286,100447478,49603139,45486950
287,100818583,49649389,45513120
288,101259347,49689481,45543363
289,101473681,49715228,45561445
290,101777928,49753037,45582891
291,102106510,49794120,45605922
292,102461683,49838202,45627499
293,102827764,49882904,45651222
294,103176238,49923871,45673501
295,103610105,49959923,45698902
296,103814905,49987325,45712351
297,104112757,50025020,45731565
298,104477012,50071683,45752487
299,104896053,50112925,45770452
300,105294664,50156656,45790934
301,105683491,50200147,45813567
302,106167621,50236895,45838067
